coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma_3,price_ma_7,price_volatility_3,price_volatility_7,liquidity_ratio
0x,ZRX,1.2368383411031793e-05,0.9123904881101377,0.5568274734260016,0.11343399148277192,0.0005059000197453407,0.0004666978252893881,2022-03-16,1.2368383411031793e-05,1.2368383411031793e-05,0.0,0.0,1.0839967712188794
0x,ZRX,1.2571429367253547e-05,0.8848560700876096,0.5412919051512673,0.10607820363917922,0.00041812929886618294,0.00048111885727857907,2022-03-17,1.2469906389142671e-05,1.2469906389142671e-05,1.4357517253690907e-07,1.4357517253690907e-07,0.8690751224264618
1inch,1INCH,3.639251213183343e-05,0.9073842302878599,0.6189697465249386,0.13956639566395662,0.002079177997659812,0.0007092350901847408,2022-03-16,3.639251213183343e-05,3.639251213183343e-05,0.0,0.0,2.9315738812984415
1inch,1INCH,3.614989538404784e-05,0.8911138923654569,0.525756336876533,0.12485481997677117,0.0011071923058204483,0.0007109879272448171,2022-03-17,3.6271203757940634e-05,3.6271203757940634e-05,1.7155594758861632e-07,1.7155594758861632e-07,1.5572567495684855
AIOZ Network,AIOZ,5.759624509726349e-06,0.9399249061326659,0.7628781684382665,0.1546651180797522,0.00023673874722831244,6.241855036361938e-05,2022-03-16,5.759624509726349e-06,5.759624509726349e-06,0.0,0.0,3.792701899472401
AIOZ Network,AIOZ,5.205609166157966e-06,0.8660826032540676,0.4505314799672935,0.08730158730158727,9.481686255323795e-05,4.816643593899428e-05,2022-03-17,5.482616837942157e-06,5.482616837942157e-06,3.917480063185984e-07,3.917480063185984e-07,1.9684847388041742
APENFT,NFT,3.692961712408549e-11,0.886107634543179,0.5322976287816843,0.09891598915989157,0.001191038989048048,0.0004582340104749785,2022-03-16,3.692961712408549e-11,3.692961712408549e-11,0.0,0.0,2.59918810614992
APENFT,NFT,3.730033551470186e-11,0.8823529411764707,0.5363859362224038,0.09794812233836622,0.0009128852201458473,0.00046499067568704134,2022-03-17,3.711497631939367e-11,3.711497631939367e-11,2.621374879154043e-13,2.621374879154043e-13,1.9632291670534265
API3,API3,0.00011402987142322064,0.916145181476846,0.5216680294358135,0.08846302748741773,0.0005131958379141261,0.0002129010749646562,2022-03-16,0.00011402987142322064,0.00011402987142322064,0.0,0.0,2.4104783290596
API3,API3,0.00011257417093650712,0.8848560700876096,0.5183973834832378,0.07975222609368948,0.000529701689478991,0.00021205886726069704,2022-03-17,0.00011330202117986387,0.00011330202117986387,1.0293356855316834e-06,1.0293356855316834e-06,2.4978874896106538
ARPA Chain,ARPA,1.6623054062047894e-06,0.916145181476846,0.5494685200327064,0.10646535036778937,0.00025612011599210056,1.4459215693709155e-06,2022-03-16,1.6623054062047894e-06,1.6623054062047894e-06,0.0,0.0,177.01036560223164
ARPA Chain,ARPA,1.6741373710098338e-06,0.8811013767209012,0.5347506132461161,0.10085172280294229,0.000235328666213314,2.567502652170718e-06,2022-03-17,1.6682213886073117e-06,1.6682213886073117e-06,8.366462548407394e-09,8.366462548407394e-09,91.62095511734462
Aave,AAVE,0.0033345245815290764,0.9274092615769712,0.6353229762878168,0.13298490127758417,0.004873331866713408,0.002314820048762146,2022-03-16,0.0033345245815290764,0.0033345245815290764,0.0,0.0,2.1052736967807637
Aave,AAVE,0.0035708332938722363,0.8898623279098873,0.5862632869991823,0.1376306620209059,0.007020324416837697,0.002504620469599387,2022-03-17,0.0034526789377006565,0.0034526789377006565,0.0001670954929513094,0.0001670954929513094,2.8029482706464997
Aave [OLD],LEND,3.2995877662835235e-05,0.9136420525657072,0.5936222403924775,0.11536972512582266,8.851597026286958e-08,4.809354270455149e-06,2022-03-16,3.2995877662835235e-05,3.2995877662835235e-05,0.0,0.0,0.018401133323283136
Aave [OLD],LEND,3.566466188847667e-05,0.8836045056320401,0.5928045789043336,0.12195121951219509,2.044295559087798e-07,1.2100992112945612e-05,2022-03-17,3.433026977565595e-05,3.433026977565595e-05,1.8871154234747482e-06,1.8871154234747482e-06,0.01689222352823215
Aavegotchi,GHST,4.731026578218475e-05,0.8898623279098873,0.5347506132461161,0.11130468447541615,0.0004884417382253192,6.643923607397204e-05,2022-03-16,4.731026578218475e-05,4.731026578218475e-05,0.0,0.0,7.351595465156185
Aavegotchi,GHST,4.7067649034399164e-05,0.8798498122653317,0.5282093213409648,0.10646535036778937,0.0004997850082825893,6.685473885033189e-05,2022-03-17,4.718895740829196e-05,4.718895740829196e-05,1.7155594758861632e-07,1.7155594758861632e-07,7.475573778362458
Acala,ACA,2.668784222041003e-05,0.9249061326658323,0.5461978740801308,0.11149825783972123,0.000229137880135163,9.64089983112649e-05,2022-03-16,2.668784222041003e-05,2.668784222041003e-05,0.0,0.0,2.3767024597944597
Acala,ACA,2.620260872483886e-05,0.8836045056320401,0.5167620605069502,0.09756097560975607,0.00015257517421389682,9.23300351262023e-05,2022-03-17,2.6445225472624446e-05,2.6445225472624446e-05,3.431118951772278e-07,3.431118951772278e-07,1.652479840666251
Adshares,ADS,8.39453946978081e-05,0.8986232790988735,0.579721995094031,0.1716995741385985,2.1126894852972633e-05,2.199567588788827e-05,2022-03-16,8.39453946978081e-05,8.39453946978081e-05,0.0,0.0,0.9604585238538451
Adshares,ADS,8.612894542787836e-05,0.8823529411764707,0.5511038430089941,0.16569879984514127,2.0522855521330134e-05,2.530592253259307e-05,2022-03-17,8.503717006284322e-05,8.503717006284322e-05,1.544003528297523e-06,1.544003528297523e-06,0.8109581674697316
Adventure Gold,AGLD,2.668784222041003e-05,0.8785982478097623,0.6827473426001633,0.12698412698412695,0.0009879340217465048,2.487718284175816e-05,2022-03-16,2.668784222041003e-05,2.668784222041003e-05,0.0,0.0,39.71085943175289
Adventure Gold,AGLD,2.6930458968195617e-05,0.8673341677096371,0.5355682747342599,0.12524196670538132,0.0009754463306071784,2.595044377443416e-05,2022-03-17,2.6809150594302823e-05,2.6809150594302823e-05,1.715559475886151e-07,1.715559475886151e-07,37.5873627334804
Aergo,AERGO,5.253647282219511e-06,0.8948685857321652,0.5306623058053965,0.0809136662795199,0.00015463790078308116,1.5798486803988816e-05,2022-03-16,5.253647282219511e-06,5.253647282219511e-06,0.0,0.0,9.78752681663309
Aergo,AERGO,5.300666407940358e-06,0.8760951188986233,0.5380212591986917,0.0830429732868757,0.00012552292882619365,1.7324551498849733e-05,2022-03-17,5.277156845079935e-06,5.277156845079935e-06,3.3247542642673445e-08,3.3247542642673445e-08,7.244960071517913
Akash Network,AKT,2.6445225472624446e-05,0.9011264080100125,0.5273916598528209,0.1116918312040263,3.0307515960978962e-05,0.00010223333990560737,2022-03-16,2.6445225472624446e-05,2.6445225472624446e-05,0.0,0.0,0.2964514270739342
Akash Network,AKT,2.7658309211552368e-05,0.8973717146433041,0.5600981193785772,0.1089818041037553,2.5691788978461907e-05,0.00010980168364125282,2022-03-17,2.7051767342088405e-05,2.7051767342088405e-05,8.57779737943066e-07,8.57779737943066e-07,0.23398143038472616
Alchemix,ALCX,0.0023082557383960517,0.916145181476846,0.4938675388389206,0.08381726674409598,0.00014811960956766527,5.9124733884369885e-05,2022-03-16,0.0023082557383960517,0.0023082557383960517,0.0,0.0,2.50516314702051
Alchemix,ALCX,0.002351684136249672,0.8798498122653317,0.5470155355682746,0.08013937282229963,0.00012046251359389502,6.334731604511846e-05,2022-03-17,0.002329969937322862,0.002329969937322862,3.0708514618361954e-05,3.0708514618361954e-05,1.9015898308661938
Alchemix USD,ALUSD,2.4193038464605636e-05,0.8798498122653317,0.5273916598528209,0.10801393728222994,5.23472101274321e-05,0.00018444037896634023,2022-03-16,2.4193038464605636e-05,2.4193038464605636e-05,0.0,0.0,0.2838148924108036
